Rank,Name,Rating,Year,Duration,PG Rating,Description,Director,Writers,Stars
206, Mary and Max,8.1,2009,1h 32m,Not Rated,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",Adam Elliot,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
207, On the Waterfront,8.1,1954,1h 48m,Approved,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...Read all",Elia Kazan,Budd Schulberg,"Marlon Brando, Karl Malden, Lee J. Cobb"
208, The Wages of Fear,8.1,1953,2h 36m,Not Rated,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,Georges Arnaud,"Yves Montand, Charles Vanel, Peter van Eyck"
209, Ford v Ferrari,8.1,2019,2h 32m,PG-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...Read all,James Mangold,Jez Butterworth,"Matt Damon, Christian Bale, Jon Bernthal"
210, Mr,8.1,1939,2h 9m,Approved,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...Read all",Frank Capra,Sidney Buchman,"James Stewart, Jean Arthur, Claude Rains"
211, Wild Strawberries,8.1,1957,1h 32m,Not Rated,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
212, The Third Man,8.1,1949,1h 33m,Approved,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Graham Greene,"Orson Welles, Joseph Cotten, Alida Valli"
213, Logan,8.1,2017,2h 17m,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...Read all",James Mangold,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen"
214, Rocky,8.1,1976,2h,PG,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young"
215, Tokyo Story,8.1,1953,2h 16m,Not Rated,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,Kôgo Noda,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
216, The Big Lebowski,8.1,1998,1h 57m,R,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen,Ethan Coen,"Jeff Bridges, John Goodman, Julianne Moore"
217, The Seventh Seal,8.1,1957,1h 36m,Not Rated,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
218, Spotlight,8.1,2015,2h 9m,R,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,Josh Singer,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
